mr,mrLabel,country,countryLabel,coord,highPoint,highPointLabel,elevation,length,partOf,partOfLabel
http://www.wikidata.org/entity/Q1003384,Буковске-Врхи,http://www.wikidata.org/entity/Q214,Словакия,Point(22.33333333 49.08333333),http://www.wikidata.org/entity/Q153054,Кременец,1221,,http://www.wikidata.org/entity/Q245768,Полонинский хребет
http://www.wikidata.org/entity/Q100496987,Bougafer massif,http://www.wikidata.org/entity/Q1028,Марокко,,,,,,,
http://www.wikidata.org/entity/Q100786282,Q100786282,http://www.wikidata.org/entity/Q142,Франция,Point(2.295272865 42.698498963),,,,,,
http://www.wikidata.org/entity/Q1010045,Bunya Mountains,http://www.wikidata.org/entity/Q408,Австралия,Point(151.55 -26.83),,,1135,,,
http://www.wikidata.org/entity/Q1010089,Осогово,http://www.wikidata.org/entity/Q219,Болгария,Point(22.516666666 42.158333333),http://www.wikidata.org/entity/Q46499,Руен (гора),2251.3,68,,
http://www.wikidata.org/entity/Q1010089,Осогово,http://www.wikidata.org/entity/Q221,Северная Македония,Point(22.516666666 42.158333333),http://www.wikidata.org/entity/Q46499,Руен (гора),2251.3,68,,
http://www.wikidata.org/entity/Q101092331,Haines Mountains,http://www.wikidata.org/entity/Q30,США,,,,2446,,,
http://www.wikidata.org/entity/Q1011312,Q1011312,http://www.wikidata.org/entity/Q218,Румыния,Point(22.6666667 45.25),,,,,,
http://www.wikidata.org/entity/Q101492329,Q101492329,http://www.wikidata.org/entity/Q29,Испания,,http://www.wikidata.org/entity/Q8538854,Orzanzurieta,1567,,,
http://www.wikidata.org/entity/Q1016136,Burgwald,http://www.wikidata.org/entity/Q183,Германия,Point(8.80005 51.0008),http://www.wikidata.org/entity/Q15057062,Q15057062,,,,
http://www.wikidata.org/entity/Q1016136,Burgwald,http://www.wikidata.org/entity/Q183,Германия,Point(8.87662 50.95336),http://www.wikidata.org/entity/Q15057062,Q15057062,,,,
http://www.wikidata.org/entity/Q1019768,Чешская Швейцария,http://www.wikidata.org/entity/Q213,Чехия,Point(14.25 50.83333333),,,,,,
http://www.wikidata.org/entity/Q1020478,Büdinger Wald,http://www.wikidata.org/entity/Q183,Германия,Point(9.2323 50.2604),,,,,,
http://www.wikidata.org/entity/Q102249621,Q102249621,,,,,,,,,
http://www.wikidata.org/entity/Q1024789,Cabeza Prieta Mountains,http://www.wikidata.org/entity/Q30,США,Point(-113.824816666 32.349666666),,,2830,,,
http://www.wikidata.org/entity/Q1024789,Cabeza Prieta Mountains,http://www.wikidata.org/entity/Q96,Мексика,Point(-113.824816666 32.349666666),,,2830,,,
http://www.wikidata.org/entity/Q1026262,Calapooya Mountains,http://www.wikidata.org/entity/Q30,США,Point(-122.5 43.5),,,6165,,,
http://www.wikidata.org/entity/Q1026608,Calenberg Uplands,http://www.wikidata.org/entity/Q183,Германия,Point(9.316666666 52.25),,,,,,
http://www.wikidata.org/entity/Q102687386,Уркас (хребет),http://www.wikidata.org/entity/Q159,Россия,,,,614.7,,,
http://www.wikidata.org/entity/Q1027662,Gallatin Range,http://www.wikidata.org/entity/Q30,США,Point(-110.837 45.0053),http://www.wikidata.org/entity/Q1027558,Электрик-Пик,10969,120,,
http://www.wikidata.org/entity/Q1028218,Кембрийские горы,http://www.wikidata.org/entity/Q145,Великобритания,Point(-3.5 52.416666666),http://www.wikidata.org/entity/Q217142,Сноудон,,,,
http://www.wikidata.org/entity/Q10284204,Nakh mountain,http://www.wikidata.org/entity/Q794,Иран,Point(54.491667 27.087222),,,,,,
http://www.wikidata.org/entity/Q10285761,Kernot Range,http://www.wikidata.org/entity/Q408,Австралия,Point(132.1 -25.06666667),,,696,,,
http://www.wikidata.org/entity/Q10295324,Mount Bozgush,http://www.wikidata.org/entity/Q794,Иран,,,,,,,
http://www.wikidata.org/entity/Q10295900,Богдо-Ула,http://www.wikidata.org/entity/Q148,Китай,Point(89.66666667 43.58333333),http://www.wikidata.org/entity/Q1037396,Богдо-Ула,,,,
http://www.wikidata.org/entity/Q1029702,Сьерра-Мадре Южная,http://www.wikidata.org/entity/Q96,Мексика,Point(-100.3 17.55),http://www.wikidata.org/entity/Q2946767,Cerro Nube Flane,3703,1000,,
http://www.wikidata.org/entity/Q1030486,Campbell Range,http://www.wikidata.org/entity/Q408,Австралия,Point(145.51666667 -41.13333333),,,,,,
http://www.wikidata.org/entity/Q1031314,Lammerlaw Range,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(169.695 -45.698),,,1210,,,
http://www.wikidata.org/entity/Q1031496,Q1031496,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q1031632,Campsie Fells,http://www.wikidata.org/entity/Q145,Великобритания,Point(-4.3 56.016666666),http://www.wikidata.org/entity/Q24648076,Earl's Seat,578,,http://www.wikidata.org/entity/Q654252,Равнинная Шотландия
http://www.wikidata.org/entity/Q1031632,Campsie Fells,http://www.wikidata.org/entity/Q145,Великобритания,Point(-4.3 56.016666666),http://www.wikidata.org/entity/Q24648076,Earl's Seat,578,,http://www.wikidata.org/entity/Q138736882,Lennox Hills
http://www.wikidata.org/entity/Q10327241,Q10327241,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10333077,Морро-да-Мулэр-де-Педра,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10349589,Serra do Papagaio,http://www.wikidata.org/entity/Q155,Бразилия,Point(-44.708062 -22.120624),,,,,,
http://www.wikidata.org/entity/Q1035274,Caraballo Mountains,http://www.wikidata.org/entity/Q928,Филиппины,Point(121.15 16.18333),,,1588,,,
http://www.wikidata.org/entity/Q10370293,Q10370293,http://www.wikidata.org/entity/Q155,Бразилия,Point(-38.75027778 -4.82055556),,,,,,
http://www.wikidata.org/entity/Q10370295,Q10370295,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370296,Q10370296,http://www.wikidata.org/entity/Q155,Бразилия,Point(-35.76 -7.18),,,,,,
http://www.wikidata.org/entity/Q10370301,Q10370301,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370302,Serra Fina,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370309,Q10370309,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370317,Q10370317,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370323,Q10370323,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370345,Q10370345,http://www.wikidata.org/entity/Q155,Бразилия,Point(-35.53583 -6.70444),,,,,,
http://www.wikidata.org/entity/Q10370350,Serra da Gralheira,http://www.wikidata.org/entity/Q45,Португалия,Point(-7.983333333 41.016666666),,,1078,,,
http://www.wikidata.org/entity/Q10370351,Q10370351,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
